order_id,order_date,region,channel,customer_id,customer_type,sales_rep,category,product,qty,discount,status,unit_price,revenue,cost,order_date_original,region_original,channel_original,category_original,region_missing_flag,region_reporting,discount_original,unit_price_original,revenue_original,cost_original,discount_corrected_flag,reference_unit_price,scale_corrected_flag,cost_imputed_flag,year,month,quarter,year_month,net_revenue,net_cost,gross_profit,margin_pct,qty_outlier_flag,negative_margin_flag
ORD-100001,2024-09-01,Jakarta,Offline,C00438,UMKM,SR02,Smartphone,Smartphone Lumo X,4,0.1,Completed,5500000.0,19800000.0,19274000.0,2024-09-01,Jakarta,Offline,Smartphone,False,Jakarta,0.1,5500000.0,19800000.0,19274000.0,False,5500000.0,False,False,2024,9,Q3,2024-09,19800000.0,19274000.0,526000.0,0.026565656565656567,False,False
ORD-100002,2024-09-01,Jawa Timur,Offline,K0002,Korporat,SR09,Peralatan Kantor,Kursi Ergonomis E1,20,0.1,Completed,1900000.0,34200000.0,26338000.0,2024-09-01,Jawa Timur,Offline,Peralatan Kantor,False,Jawa Timur,0.1,1900000.0,34200000.0,26338000.0,False,1900000.0,False,False,2024,9,Q3,2024-09,34200000.0,26338000.0,7862000.0,0.22988304093567252,False,False
ORD-100003,2024-09-01,Jawa Barat,Online,C01918,Retail,SYS-ONLINE,Laptop,Laptop Axio Pro 15,1,0.1,Completed,13000000.0,11700000.0,11642500.0,2024-09-01,Jawa Barat,Online,Laptop,False,Jawa Barat,0.1,13000000.0,11700000.0,11642500.0,False,13000000.0,False,False,2024,9,Q3,2024-09,11700000.0,11642500.0,57500.0,0.004914529914529914,False,False
ORD-100004,2024-09-01,Kalimantan,Offline,C00108,Retail,SR14,Aksesoris,Keyboard Mekanik K7,1,0.0,Completed,650000.0,650000.0,401000.0,2024-09-01,Kalimantan,Offline,Aksesoris,False,Kalimantan,0.0,650000.0,650000.0,401000.0,False,650000.0,False,False,2024,9,Q3,2024-09,650000.0,401000.0,249000.0,0.3830769230769231,False,False
ORD-100005,2024-09-01,Sulawesi,Online,C01567,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo X,2,0.1,Completed,5500000.0,9900000.0,9743000.0,2024-09-01,Sulawesi,Online,Smartphone,False,Sulawesi,0.1,5500000.0,9900000.0,9743000.0,False,5500000.0,False,False,2024,9,Q3,2024-09,9900000.0,9743000.0,157000.0,0.01585858585858586,False,False
ORD-100006,2024-09-01,Jawa Barat,Offline,C00827,UMKM,SR04,Peralatan Kantor,Kursi Ergonomis E1,4,0.05,Completed,1900000.0,7220000.0,5213600.0,2024-09-01,Jawa Barat,Offline,Peralatan Kantor,False,Jawa Barat,0.05,1900000.0,7220000.0,5213600.0,False,1900000.0,False,False,2024,9,Q3,2024-09,7220000.0,5213600.0,2006400.0,0.27789473684210525,False,False
ORD-100007,2024-09-01,Jakarta,Offline,C00524,Retail,SR01,Aksesoris,Power Bank 20000mAh,4,0.05,Completed,320000.0,1216000.0,809200.0,2024-09-01,Jakarta,Offline,Aksesoris,False,Jakarta,0.05,320000.0,1216000.0,809200.0,False,320000.0,False,False,2024,9,Q3,2024-09,1216000.0,809200.0,406800.0,0.33453947368421055,False,False
ORD-100008,2024-09-01,Kalimantan,Online,C00480,UMKM,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),4,0.1,Completed,55000.0,198000.0,154000.0,2024-09-01,Kalimantan,ONLINE,Peralatan Kantor,False,Kalimantan,0.1,55000.0,198000.0,154000.0,False,55000.0,False,False,2024,9,Q3,2024-09,198000.0,154000.0,44000.0,0.2222222222222222,False,False
ORD-100009,2024-09-01,Sulawesi,Offline,C01122,Retail,SR17,Networking,Switch 8 Port S8,3,0.0,Completed,450000.0,1350000.0,899100.0,2024-09-01,Sulawesi,Offline,Networking,False,Sulawesi,0.0,450000.0,1350000.0,,False,450000.0,False,True,2024,9,Q3,2024-09,1350000.0,899100.0,450900.0,0.334,False,False
ORD-100010,2024-09-01,Sumatera,Online,C02312,Retail,SYS-ONLINE,Printer & Tinta,Printer InkJet P200,1,0.0,Completed,2100000.0,2100000.0,1699150.0,2024-09-01,Sumatera,Online,Printer & Tinta,False,Sumatera,0.0,2100000.0,2100000.0,,False,2100000.0,False,True,2024,9,Q3,2024-09,2100000.0,1699150.0,400850.0,0.19088095238095237,False,False
