order_id,order_date,region,channel,customer_id,customer_type,sales_rep,category,product,qty,discount,status,unit_price,revenue,cost
ORD-100001,2024-09-01,Jakarta,Offline,C00438,UMKM,SR02,Smartphone,Smartphone Lumo X,4,0.1,Completed,5500000.0,19800000.0,19274000.0
ORD-100002,2024-09-01,Jawa Timur,Offline,K0002,Korporat,SR09,Peralatan Kantor,Kursi Ergonomis E1,20,0.1,Completed,1900000.0,34200000.0,26338000.0
ORD-100003,2024-09-01,Jawa Barat,Online,C01918,Retail,SYS-ONLINE,Laptop,Laptop Axio Pro 15,1,0.1,Completed,13000000.0,11700000.0,11642500.0
ORD-100004,2024-09-01,Kalimantan,Offline,C00108,Retail,SR14,Aksesoris,Keyboard Mekanik K7,1,0.0,Completed,650000.0,650000.0,401000.0
ORD-100005,2024-09-01,Sulawesi,Online,C01567,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo X,2,0.1,Completed,5500000.0,9900000.0,9743000.0
ORD-100005,2024-09-01,Sulawesi,Online,C01567,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo X,2,0.1,Completed,5500000.0,9900000.0,9743000.0
ORD-100006,2024-09-01,Jawa Barat,Offline,C00827,UMKM,SR04,Peralatan Kantor,Kursi Ergonomis E1,4,0.05,Completed,1900000.0,7220000.0,5213600.0
ORD-100007,2024-09-01,Jakarta,Offline,C00524,Retail,SR01,Aksesoris,Power Bank 20000mAh,4,0.05,Completed,320000.0,1216000.0,809200.0
ORD-100008,2024-09-01,Kalimantan,ONLINE,C00480,UMKM,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),4,0.1,Completed,55000.0,198000.0,154000.0
ORD-100009,2024-09-01,Sulawesi,Offline,C01122,Retail,SR17,Networking,Switch 8 Port S8,3,0.0,Completed,450000.0,1350000.0,
ORD-100010,2024-09-01,Sumatera,Online,C02312,Retail,SYS-ONLINE,Printer & Tinta,Printer InkJet P200,1,0.0,Completed,2100000.0,2100000.0,
ORD-100011,2024-09-01,Jakarta,Offline,C00105,Retail,SR02,Networking,Router WiFi 6 R600,2,0.05,Completed,1200000.0,2280000.0,1682400.0
ORD-100244,2024-10-01,Jawa Barat,Offline,C00019,Retail,SR06,Aksesoris,Mouse Wireless M20,1,0.0,Completed,180000.0,180000.0,104900.0
ORD-100245,2024-10-01,Jakarta,Offline,C01111,UMKM,SR02,Printer & Tinta,Tinta Botol Set CMYK,2,0.05,Completed,280000.0,532000.0,327200.0
ORD-100481,2024-11-01,Kalimantan,Offline,C00523,UMKM,SR15,Peralatan Kantor,Kertas A4 80gsm (rim),7,0.0,Completed,55000.0,385000.0,264600.0
ORD-100482,2024-11-01,Jakarta,Offline,C01477,UMKM,SR02,Networking,Switch 8 Port S8,1,0.0,Completed,450000.0,450000.0,
ORD-100483,2024-11-01,Jakarta,Offline,C00952,Retail,SR01,Networking,Switch 8 Port S8,5,0.0,Completed,450000.0,2250000.0,
ORD-100484,2024-11-01,Kalimantan,online,K0098,Korporat,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),7,0.05,Completed,55000.0,365750.0,266000.0
ORD-100485,2024-11-01,Sulawesi,Offline,C01249,Retail,SR16,Laptop,Laptop Veno 13,2,0.0,Completed,6200000.0,12400000.0,11005600.0
ORD-100486,2024-11-01,Kalimantan,Offline,C00324,Retail,SR15,Networking,Router WiFi 6 R600,5,0.0,Completed,1200000.0,6000000.0,4272500.0
ORD-100487,2024-11-01,Jawa Timur,Offline,C00438,Retail,SR09,Laptop,Laptop Veno 13,2,0.1,Completed,6200000.0,11160000.0,10983600.0
